Molecule ChEMBL ID;Molecule Name;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Value;Standard Units;pChEMBL Value;Potential Duplicate;BAO Label
CHEMBL1863142;;446.90;1;14397;DNDI1610384;FC(F)(F)c1ccc(C(c2cccnc2)N2CCC(Oc3cccc(Cl)c3)CC2)cc1;IC50;61170.0;nM;44287;False;cell-based format
CHEMBL1863463;;399.97;0;30773;DNDI1449869;CC(C)(C)CC(=O)N1CCC(NC(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863375;;369.90;0;30011;DNDI1459246;O=C(NC1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1)C1CC1;IC50;78.0;nM;44507;False;organism-based format
CHEMBL1863369;;408.40;0;46813;DNDI1489900;O=C(C1CC1)N1CCN(C(c2cncnc2)c2ccc(C(F)(F)F)cc2F)CC1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863054;;419.48;0;11049;DNDI1578295;FC(F)(F)c1ccc(C(NC2CCN(c3ncccn3)CC2)c2cscn2)cc1;IC50;1000.0;nM;;False;organism-based format
CHEMBL1863320;;444.46;0;13971;DNDI1538109;Cc1nocc1C(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1;IC50;164.5;nM;28642;False;organism-based format
CHEMBL1862859;;421.93;1;44413;DNDI1449871;O=C(Oc1ccccc1)N1CCC(NC(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;60820.0;nM;44652;False;cell-based format
CHEMBL281217;;296.76;0;15036;DNDI1251116;OC(c1ccccc1)(c1ccc(Cl)cc1)c1cncnc1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863347;;296.76;0;15036;DNDI1255601;OC(c1ccccc1)(c1cncnc1)c1ccccc1Cl;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863081;;401.47;0;44986;DNDI1498555;Cc1nc(C(=O)NC2CCN(C(c3ccc(C#N)cc3)c3cccnc3)CC2)co1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863208;;414.51;0;46813;DNDI1576385;Cc1n[nH]c(C)c1C(=O)NC1CCN(C(c2ccc(C#N)cc2)c2cccnc2)CC1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863112;;447.45;1;26785;DNDI1576386;Fc1cccc(F)c1N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1;IC50;18.0;nM;27576;False;organism-based format
CHEMBL1863404;;399.44;0;28157;DNDI1465509;CS(=O)(=O)N1CCN(C(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1;IC50;76.5;nM;44537;False;organism-based format
CHEMBL1862908;;420.92;1;44444;DNDI1576380;N#Cc1ccccc1N1CCC(NC(c2cccnc2)c2ccc(Cl)cc2F)CC1;IC50;39910.0;nM;14702;False;cell-based format
CHEMBL1863303;;445.49;0;19815;DNDI1703787;CCn1cc(C(NC2CCN(c3ccc(OC(F)(F)F)cc3)CC2)c2cccnc2)cn1;IC50;103.0;nM;36312;False;organism-based format
CHEMBL1863256;;418.49;0;32964;DNDI1555052;FC(F)(F)c1ccc(C(NC2CCN(c3cncs3)CC2)c2cccnc2)cc1;IC50;25.0;nM;22098;False;organism-based format
CHEMBL1863474;;434.01;0;44473;DNDI1435774;O=S(=O)(C1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;10.0;nM;8.00;False;organism-based format
CHEMBL1862965;;251.11;0;44652;DNDI1268116;O=C(c1ccc(Cl)cc1)c1ccccc1Cl;IC50;10000.0;nM;;False;organism-based format
CHEMBL1863106;;445.92;1;44475;DNDI1613516;FC(F)(F)c1ccc(N2CCC(NC(c3ccc(Cl)cc3)c3cccnc3)CC2)cc1;IC50;53500.0;nM;46478;False;cell-based format
CHEMBL1863080;;482.48;1;44444;DNDI1555053;N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3c(F)cccc3C(F)(F)F)CC2)cc1;IC50;4.481;nM;12997;False;organism-based format
CHEMBL1863106;;445.92;1;44475;DNDI1613516;FC(F)(F)c1ccc(N2CCC(NC(c3ccc(Cl)cc3)c3cccnc3)CC2)cc1;IC50;11.0;nM;35247;False;organism-based format
